No;Lexique (FR);Définition (FR);Exemple  (FR)
170;Représentation des acteurs sociaux;Manière de représenter les acteurs (van Leeuwen, 2008).;Le Monde, 19/03/2023: “Les forces de l’ordre ont procédé à des interpellations.” → Analyse : Représentation atténuée.
171;Représentation du pouvoir;Relations de pouvoir dans le discours (Fairclough, 1995).;Le Monde, 19/03/2023 + France24, 15/04/2023: “Le gouvernement maintient sa réforme malgré les protestations.” → Analyse : État dominant et légitime.
172;Représentation médiatique;Construction de la réalité (Hall, 1997).;Le Monde, 19/03/2023: “Les manifestants sont décrits comme perturbateurs.” → Analyse : Image négative.
173;Représentation sociale;Image d’un groupe dans le discours (Hall, 1997).;Libération, 18/06/2023: “Les classes populaires subissent les effets de la crise.” → Analyse : Groupe vulnérable.
174;Reproduction discursive;Répétition des schémas discursifs (Fairclough, 1995).;Les Echos, 10/10/2023: “L’investissement reste essentiel à la croissance.” → Analyse : Stabilisation idéologique.
175;Reproduction du pouvoir;Maintien du pouvoir (van Dijk, 1998).;Le Monde, 19/03/2023: “Le discours officiel est répété.” → Analyse : Reproduction.
176;Reproduction idéologique;Répétition des idées dominantes (Fairclough, 1995).;Le Monde, 12/06/2023: “Le modèle économique est constamment renforcé.” → Analyse : Reproduction idéologique.
177;Reproduction idéologique;Maintien des croyances (van Dijk, 1998).;Le Monde, 19/03/2023: “Le discours officiel est répété.” → Analyse : Reproduction.
178;Résistance discursive;Opposition au discours dominant (Fairclough, 1995).;Libération, 05/03/2024: “Des groupes contestent la réforme.” → Analyse : Résistance.
179;Résistance symbolique;Opposition par symboles (Bourdieu, 1991).;Libération, 05/03/2024: “Les slogans expriment une opposition.” → Analyse : Résistance symbolique.
180;Rhétorique;Usage du langage pour persuader. Elle influence le public (Leech, 1981).;France24, 06/04/2023: “Nous garantissons une amélioration pour tous.” → Analyse : Discours persuasif.
181;Sarcasme;Ironie agressive (Leech, 1981).;Libération, 05/03/2024: “Une réforme parfaite… pour les riches.” → Analyse : Critique sarcastique.
182;Sélection de l’information;Choix des faits présentés dans le discours (van Dijk, 1998).;France24, 15/04/2023: “Les manifestations ont été marquées par des violences.” → Analyse : Sélection orientée.
183;Signification;Processus de production du sens (Saussure, 1916).;Le Monde, 02/03/2024: “L’éducation est essentielle pour l’avenir du pays.” → Analyse : Construction du sens.
184;Silence;Absence de voix dans le discours (van Dijk, 1998).;Libération, 18/06/2023: “Les populations concernées sont absentes du débat.” → Analyse : Silence discursif.
185;Simplification;Réduction de la complexité (Fairclough, 1995).;Les Echos, 10/10/2023: “La crise est uniquement liée à des facteurs externes.” → Analyse : Simplification excessive.
186;Stratégie discursive;Utilisation stratégique du langage. Elle reflète une idéologie (Wodak & Meyer, 2001).;Le Monde, 25/03/2023: “La réforme est maintenue pour préserver l’ordre social.” → Analyse : Stratégie de légitimation.
187;Stratégie persuasive;Usage du langage pour convaincre (Fairclough, 1995).;France24, 06/04/2023: “Nous garantirons une amélioration pour tous.” → Analyse : Persuasion.
188;Style;Manière d’expression (Leech, 1981).;Le Monde, 12/06/2023: “Le gouvernement adopte une approche stratégique face à l’inflation.” → Analyse : Style formel analytique.
189;Subjectivité;Implication du point de vue du locuteur dans le discours. Le langage n’est jamais neutre (Fairclough, 1995).;Libération, 05/03/2024: “Cette réforme semble défavorable aux classes populaires.” → Analyse : Marque de subjectivité.
190;Substitution;Remplacement d’un élément (Halliday & Hasan, 1976).;Le Monde, 12/06/2023: “Cette réforme est controversée, ce qui suscite un débat.” → Analyse : Substitution.
191;Subversion discursive;Renversement du sens (Fairclough, 1995).;Libération, 05/03/2024: “Le terme réforme est détourné.” → Analyse : Subversion.
192;Synthèse du discours;Synthèse des résultats (Fairclough, 1995).;Le Monde, 19/03/2023: “L’analyse conclut à une domination économique.” → Analyse : Synthèse.
193;Thématisation;Mise en avant d’un élément dans la phrase (Halliday, 1978).;Le Monde, 19/03/2023: “La violence a marqué les manifestations.” → Analyse : Mise en avant de la violence.
194;Thème–rhème;Organisation thème-commentaire (Halliday, 1978).;Le Monde, 12/06/2023: “Cette réforme, selon le gouvernement, est essentielle.” → Analyse : Thématisation.
195;Transformation discursive;Changement dans la manière de parler d’un sujet (Fairclough, 1995).;Le Monde, 02/03/2024: “L’éducation évolue vers une approche plus professionnelle.” → Analyse : Mutation discursive.
196;Transformation discursive;Changement du discours (Fairclough, 1995).;Le Monde, 12/06/2023: “La réforme est désormais acceptée.” → Analyse : Évolution discursive.
197;Transformation sociale;Changement social (Fairclough, 1995).;France24, 06/04/2023: “La réforme transforme la société.” → Analyse : Impact social.
198;Violation des maximes;Non-respect des maximes (Grice, 1975).;Le Monde, 19/03/2023: “La situation est complexe.” → Analyse : Atténuation.
199;Voix;Qui parle dans le discours (van Dijk, 1998).;Le Monde, 19/03/2023: “Le gouvernement affirme la nécessité de la réforme.” → Analyse : Voix dominante.
200;Voix active/passive;Choix grammatical influençant l’agent (Halliday, 1978).;Le Monde, 19/03/2023: “Les manifestants ont été dispersés.” → Analyse : Effacement partiel de l’agent.
