No;Istilah (ID);Definisi (ID );Contoh   (ID)
89;Strategi Persuasi;Strategi persuasi adalah penggunaan bahasa untuk mempengaruhi sikap audiens. Hal ini sering digunakan dalam politik (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Kami akan memastikan kesejahteraan rakyat meningkat secara signifikan.” → Analisis: Bahasa persuasif untuk meyakinkan publik.
90;Kontrol Makna;Kontrol makna adalah upaya mengarahkan interpretasi publik melalui bahasa. Hal ini merupakan bentuk kekuasaan simbolik (van Dijk, 1998).;Kompas, 13/04/2023: “Penertiban dilakukan untuk menjaga stabilitas nasional.” → Analisis: Makna diarahkan agar tindakan tampak positif.
91;Kekuasaan Simbolik;Kekuasaan simbolik adalah kemampuan mempengaruhi cara berpikir melalui bahasa dan simbol. Kekuasaan ini bekerja secara halus tanpa paksaan langsung (Bourdieu, 1991).;Kompas, 03/10/2023: “Pemerintah menegaskan bahwa kebijakan ini demi kepentingan nasional.” → Analisis: Bahasa digunakan untuk membentuk persepsi publik.
92;Kekuasaan Diskursif;Kekuasaan diskursif adalah kontrol atas produksi dan distribusi wacana. Pihak berkuasa menentukan apa yang dapat dikatakan (Foucault, 1972).;CNN Indonesia, 12/01/2024: “Pemerintah menjadi sumber utama informasi terkait kebijakan ini.” → Analisis: Kontrol narasi oleh negara.
93;Kontrol Kognitif;Kontrol kognitif adalah pengaruh terhadap cara berpikir audiens. Hal ini dilakukan melalui struktur wacana (van Dijk, 1998).;Kompas, 13/04/2023: “Kebijakan ini dianggap sebagai solusi terbaik bagi masyarakat.” → Analisis: Membentuk pola pikir audiens.
94;Hegemoni Diskursif;"Hegemoni diskursif adalah dominasi wacana tertentu yang diterima sebagai kebenaran. Hal ini terjadi melalui konsensus sosial (Gramsci, 1971; Fairclough, 1995).";Bisnis Indonesia, 12/12/2023: “Investasi menjadi kunci utama pertumbuhan ekonomi.” → Analisis: Ideologi ekonomi menjadi dominan.
95;Reproduksi Ideologi;Reproduksi ideologi adalah pengulangan wacana yang mempertahankan sistem kepercayaan. Hal ini memperkuat struktur kekuasaan (Fairclough, 1995).;Kompas, 03/10/2023: “Kebijakan ekonomi berbasis pasar terus menjadi prioritas pemerintah.” → Analisis: Ideologi diulang terus-menerus.
96;Internalization;Internalisasi adalah proses penerimaan ideologi oleh individu. Ideologi menjadi bagian dari cara berpikir (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Masyarakat mulai menerima kebijakan ini sebagai hal yang wajar.” → Analisis: Ideologi telah diterima.
97;Resistensi Wacana;Resistensi wacana adalah penolakan terhadap wacana dominan. Hal ini muncul dari kelompok tertentu (Fairclough, 1995).;Tempo, 01/03/2024: “Kelompok masyarakat sipil menolak kebijakan tersebut.” → Analisis: Bentuk perlawanan diskursif.
98;Counter-Hegemony;Counter-hegemony adalah upaya menantang dominasi ideologi. Wacana alternatif dibangun (Gramsci, 1971).;Tempo, 01/03/2024: “Aktivis mendorong kebijakan alternatif yang lebih berpihak pada rakyat.” → Analisis: Upaya melawan hegemoni.
99;Dominasi Simbolik;Dominasi simbolik adalah bentuk kekuasaan melalui simbol dan bahasa. Hal ini membuat dominasi tampak alami (Bourdieu, 1991).;Kompas, 13/04/2023: “Istilah ‘penertiban’ digunakan untuk menggambarkan tindakan aparat.” → Analisis: Bahasa menutupi realitas kekuasaan.
100;Ideological Closure;Penutupan ideologis adalah pembatasan kemungkinan interpretasi. Wacana dibuat seolah tidak memiliki alternatif (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Tidak ada pilihan lain selain mengikuti kebijakan ini.” → Analisis: Menutup ruang alternatif.
101;Evaluasi Afektif;Evaluasi afektif adalah penilaian berbasis emosi dalam wacana. Hal ini digunakan untuk membentuk respons emosional audiens (Hunston & Thompson, 2000).;Tempo, 01/03/2024: “Kebijakan ini sangat mengecewakan bagi masyarakat kecil.” → Analisis: Kata “mengecewakan” memicu emosi negatif.
102;Evaluasi Epistemik;Evaluasi epistemik adalah penilaian terkait tingkat kepastian atau kebenaran informasi. Hal ini menunjukkan sikap terhadap validitas (Halliday, 1978).;Kompas, 03/10/2023: “Kebijakan ini diperkirakan akan meningkatkan pertumbuhan ekonomi.” → Analisis: Kata “diperkirakan” menunjukkan ketidakpastian.
103;Evaluasi Deontik;Evaluasi deontik adalah penilaian terkait kewajiban atau keharusan. Hal ini berkaitan dengan norma sosial (Halliday, 1978).;CNN Indonesia, 12/01/2024: “Pemerintah harus segera mengambil tindakan.” → Analisis: Kata “harus” menunjukkan kewajiban.
104;Positivisasi;Positivisasi adalah strategi menampilkan sesuatu secara positif. Hal ini membangun citra baik (van Dijk, 1998).;Kompas, 13/04/2023: “Kebijakan ini membawa manfaat besar bagi masyarakat.” → Analisis: Bahasa digunakan untuk membangun citra positif.
105;Negativisasi;Negativisasi adalah strategi menampilkan sesuatu secara negatif. Hal ini melemahkan citra pihak tertentu (van Dijk, 1998).;Tempo, 01/03/2024: “Kebijakan ini dinilai merugikan masyarakat kecil.” → Analisis: Bahasa membangun citra negatif.
106;Intensifier Leksikal;Intensifier leksikal adalah penggunaan kata penguat untuk meningkatkan makna. Hal ini memperkuat efek retoris (Quirk et al., 1985).;CNN Indonesia, 18/07/2023: “Krisis ini sangat serius dan sangat berdampak luas.” → Analisis: Pengulangan “sangat” memperkuat makna.
107;Hedging;Hedging adalah strategi pelemahan klaim untuk mengurangi kepastian. Hal ini menjaga kehati-hatian (Hyland, 1998).;Kompas, 03/10/2023: “Kebijakan ini mungkin akan berdampak positif.” → Analisis: Kata “mungkin” menunjukkan kehati-hatian.
108;Boosting;Boosting adalah strategi memperkuat klaim untuk menunjukkan kepastian. Hal ini meningkatkan otoritas (Hyland, 1998).;CNN Indonesia, 12/01/2024: “Kebijakan ini pasti akan meningkatkan kesejahteraan rakyat.” → Analisis: Kata “pasti” menunjukkan kepastian tinggi.
109;Evidentiality;Evidentiality adalah penanda sumber informasi dalam wacana. Hal ini menunjukkan kredibilitas (Chafe, 1986).;Kompas, 03/10/2023: “Menurut data resmi pemerintah, inflasi mengalami penurunan.” → Analisis: Sumber resmi meningkatkan kredibilitas.
110;Attribution;Attribution adalah penyandaran pernyataan pada sumber tertentu. Hal ini memengaruhi tanggung jawab dan kredibilitas (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Para ahli menyatakan bahwa kebijakan ini efektif.” → Analisis: Otoritas ahli digunakan untuk memperkuat klaim.
111;Aktif–Pasif;Struktur aktif–pasif adalah pilihan gramatikal yang menentukan fokus pada pelaku atau tindakan. Dalam wacana, bentuk pasif sering digunakan untuk mengaburkan agen (Halliday, 1978).;Kompas, 13/04/2023: “Massa dibubarkan oleh aparat keamanan.” → Analisis: Bentuk pasif mengurangi fokus pada pelaku utama.
112;Agensivitas;Agensivitas adalah tingkat kejelasan aktor dalam suatu tindakan. Tingkat ini menentukan atribusi tanggung jawab (van Leeuwen, 2008).;Kompas, 13/04/2023: “Terjadi pembubaran massa di lokasi aksi.” → Analisis: Agen tidak disebutkan (agensivitas rendah).
113;Topik–Komentar;Struktur topik–komentar memisahkan informasi utama dan tambahan dalam kalimat. Hal ini mengarahkan fokus pembaca (Halliday, 1978).;Kompas, 03/10/2023: “Kebijakan ini, menurut pemerintah, sangat penting bagi stabilitas ekonomi.” → Analisis: “Kebijakan ini” sebagai topik utama.
114;Ellipsis;Elipsis adalah penghilangan unsur kalimat yang dianggap sudah diketahui. Hal ini dapat menyederhanakan atau menyamarkan informasi (Halliday & Hasan, 1976).;CNN Indonesia, 12/01/2024: “Beberapa mendukung, lainnya menolak.” → Analisis: Subjek dihilangkan.
115;Substitusi;Substitusi adalah penggantian unsur bahasa dengan bentuk lain. Hal ini menjaga kohesi teks (Halliday & Hasan, 1976).;Kompas, 03/10/2023: “Kebijakan ini kontroversial, dan hal itu memicu perdebatan.” → Analisis: “hal itu” menggantikan referen sebelumnya.
116;Referensi;Referensi adalah penggunaan unsur bahasa untuk merujuk pada entitas tertentu. Hal ini menciptakan kohesi (Halliday & Hasan, 1976).;Kompas, 03/10/2023: “Pemerintah mengeluarkan kebijakan baru. Kebijakan tersebut bertujuan meningkatkan ekonomi.” → Analisis: “tersebut” sebagai referensi.
117;Konjungsi Diskursif;Konjungsi diskursif adalah penghubung antar kalimat atau ide. Hal ini menunjukkan hubungan logis (Halliday & Hasan, 1976).;Kompas, 03/10/2023: “Kebijakan ini penting, namun masih menuai kritik.” → Analisis: “namun” menunjukkan kontras.
118;Nomina Abstrak;Nomina abstrak adalah kata benda yang merujuk pada konsep. Hal ini sering digunakan untuk mengaburkan tindakan konkret (Fairclough, 1995).;Kompas, 13/04/2023: “Penertiban dilakukan untuk menjaga stabilitas.” → Analisis: “penertiban” menyamarkan tindakan konkret.
119;Klausa Kompleks;Klausa kompleks adalah struktur kalimat dengan lebih dari satu klausa. Hal ini memungkinkan penyampaian makna kompleks (Halliday, 1978).;CNN Indonesia, 12/01/2024: “Kebijakan ini diterapkan karena dianggap mampu meningkatkan pertumbuhan ekonomi.” → Analisis: Struktur sebab-akibat.
120;Koherensi Lokal;Koherensi lokal adalah keterkaitan makna antar kalimat dalam teks. Hal ini membuat teks mudah dipahami (van Dijk, 1980).;Kompas, 03/10/2023: “Inflasi meningkat. Oleh karena itu, pemerintah mengambil kebijakan baru.” → Analisis: Hubungan sebab-akibat jelas.
121;Implikatur;Implikatur adalah makna tersirat yang tidak dinyatakan secara langsung dalam tuturan. Makna ini dipahami melalui konteks dan prinsip kerja sama (Grice, 1975).;Kompas, 05/01/2024: “Pemerintah menyebut kebijakan ini sebagai langkah awal.” → Analisis: Mengimplikasikan akan ada kebijakan lanjutan.
122;Presuposisi;Presuposisi adalah asumsi yang dianggap benar dalam suatu tuturan. Informasi ini diterima tanpa dipersoalkan (Yule, 1996).;Kompas, 13/04/2023: “Pemerintah kembali menaikkan harga BBM.” → Analisis: Mengasumsikan kenaikan pernah terjadi sebelumnya.
123;Inferensi;Inferensi adalah proses penarikan makna oleh pembaca dari teks. Proses ini melibatkan pengetahuan latar (van Dijk, 1980).;CNN Indonesia, 12/01/2024: “Harga kebutuhan pokok meningkat tajam.” → Analisis: Pembaca menyimpulkan kondisi ekonomi memburuk.
124;Maksim Percakapan;Maksim percakapan adalah prinsip komunikasi efektif (Grice, 1975). Pelanggaran maksim dapat menghasilkan makna implisit.;Tempo, 01/03/2024: “Kami akan mempertimbangkan semua opsi.” → Analisis: Pelanggaran maksim kuantitas → tidak memberikan jawaban jelas.
125;Pelanggaran Maksim;Pelanggaran maksim adalah penyimpangan dari prinsip komunikasi. Hal ini sering digunakan secara strategis (Grice, 1975).;CNN Indonesia, 12/01/2024: “Situasinya cukup menantang.” → Analisis: Menghindari kata “krisis”.
126;Ironi;Ironi adalah penggunaan bahasa dengan makna berlawanan dari yang dinyatakan. Hal ini sering bersifat kritik (Leech, 1981).;Tempo, 01/03/2024: “Kebijakan ini sangat ‘berpihak’ pada rakyat kecil.” → Analisis: Tanda kutip menunjukkan makna berlawanan.
127;Sarkasme;Sarkasme adalah bentuk ironi yang lebih tajam dan langsung. Hal ini digunakan untuk menyerang atau mengkritik (Leech, 1981).;Tempo, 01/03/2024: “Kebijakan ini jelas sangat membantu… bagi mereka yang sudah kaya.” → Analisis: Kritik tajam melalui sarkasme.
128;Eufemisme;Eufemisme adalah penggunaan kata halus untuk menggantikan makna kasar. Hal ini mengurangi dampak negatif (Allan & Burridge, 1991).;Kompas, 13/04/2023: “Penyesuaian harga BBM dilakukan pemerintah.” → Analisis: “penyesuaian” menggantikan “kenaikan”.
129;Disfemisme;Disfemisme adalah penggunaan kata kasar untuk memperkuat efek negatif. Hal ini sering digunakan dalam kritik (Allan & Burridge, 1991).;Tempo, 01/03/2024: “Kebijakan ini adalah bentuk penindasan terhadap rakyat kecil.” → Analisis: Kata “penindasan” memperkuat kritik.
130;Ambiguitas Pragmatik;Ambiguitas pragmatik adalah ketaksaan makna akibat konteks. Hal ini dapat digunakan untuk strategi komunikasi (Leech, 1981).;CNN Indonesia, 12/01/2024: “Kebijakan ini akan segera diterapkan.” → Analisis: “segera” tidak jelas waktunya → ambiguitas strategis.
131;Representasi Aktor Sosial Lanjut;Representasi aktor sosial merujuk pada cara aktor ditampilkan atau disembunyikan dalam wacana. Pilihan ini mencerminkan relasi kekuasaan dan ideologi (van Leeuwen, 2008).;Kompas, 13/04/2023: “Aparat mengamankan sejumlah peserta aksi.” → Analisis: Kata “mengamankan” merepresentasikan tindakan represif secara halus.
132;Aktivasi vs Pasivasi Aktor;Aktivasi menampilkan aktor sebagai pelaku aktif, sedangkan pasivasi menjadikannya objek tindakan. Strategi ini memengaruhi atribusi tanggung jawab (van Leeuwen, 2008).;Kompas, 13/04/2023: “Polisi membubarkan massa” vs “Massa dibubarkan.” → Analisis: Versi kedua menghapus pelaku.
133;Personalisasi vs Impersonalisasi;Personalisasi menyebut aktor secara jelas, sedangkan impersonalisasi menyamarkannya. Strategi ini memengaruhi kedekatan dan tanggung jawab (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Pemerintah menaikkan pajak” vs “Terjadi kenaikan pajak.” → Analisis: Impersonalisasi mengaburkan pelaku.
134;Nominalisasi Lanjut;Nominalisasi mengubah proses menjadi entitas. Hal ini sering menghilangkan pelaku dan waktu (Fairclough, 1995).;Kompas, 03/10/2023: “Penertiban dilakukan di wilayah tersebut.” → Analisis: Tindakan diubah menjadi konsep abstrak.
135;Strategi Diferensiasi;Diferensiasi adalah pemisahan kelompok “kita” vs “mereka”. Hal ini memperkuat identitas sosial (van Dijk, 1998).;Tempo, 01/03/2024: “Kebijakan ini merugikan masyarakat kecil, tetapi menguntungkan elite.” → Analisis: Pembelahan kelompok sosial.
136;Polarisasi Ideologis;Polarisasi adalah pembagian dunia menjadi positif (ingroup) dan negatif (outgroup). Ini strategi utama ideologi (van Dijk, 1998).;Kompas, 13/04/2023: “Kelompok ini dianggap mengganggu ketertiban umum.” → Analisis: Kelompok diposisikan negatif.
137;Strategi Inklusi Selektif;Inklusi selektif adalah menampilkan aktor tertentu saja. Hal ini mengarahkan fokus pembaca (van Leeuwen, 2008).;CNN Indonesia, 12/01/2024: “Pemerintah dan investor mendukung kebijakan ini.” → Analisis: Kelompok lain tidak ditampilkan.
138;Strategi Eksklusi Selektif;Eksklusi selektif adalah penghilangan aktor tertentu dari wacana. Hal ini dapat menyembunyikan tanggung jawab (van Leeuwen, 2008).;Kompas, 13/04/2023: “Terjadi bentrokan dalam aksi tersebut.” → Analisis: Pelaku awal tidak disebut.
139;Strategi Kategorisasi;Kategorisasi adalah pengelompokan aktor dalam label tertentu. Hal ini mempengaruhi persepsi sosial (van Dijk, 1998).;Tempo, 01/03/2024: “Kelompok radikal menolak kebijakan tersebut.” → Analisis: Label membentuk citra negatif.
140;Strategi Labelisasi;Labelisasi adalah pemberian nama atau istilah tertentu untuk membingkai aktor/peristiwa. Label dapat bersifat ideologis (Fairclough, 1995).;Kompas, 13/04/2023: “Aksi tersebut disebut sebagai gerakan liar.” → Analisis: Label “liar” membentuk persepsi negatif.
141;Praktik Diskursif;Praktik diskursif adalah proses produksi, distribusi, dan konsumsi teks dalam masyarakat. Analisisnya menyoroti bagaimana teks dibuat dan digunakan dalam konteks sosial (Fairclough, 1995).;Kompas, 03/10/2023: “Pemerintah terus mensosialisasikan kebijakan ini melalui berbagai media.” → Analisis: Distribusi wacana dilakukan secara sistematis melalui media.
142;Praktik Sosial;Praktik sosial adalah konteks sosial luas yang membentuk dan dibentuk oleh wacana. Ini mencakup struktur kekuasaan dan ideologi (Fairclough, 1995).;Tempo, 01/03/2024: “Kebijakan ini mencerminkan arah pembangunan ekonomi nasional.” → Analisis: Wacana terkait struktur ekonomi makro.
143;Interdiskursivitas Institusional;Interdiskursivitas institusional adalah percampuran wacana dari berbagai institusi. Hal ini menunjukkan hubungan kekuasaan antar bidang (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Kebijakan ini didukung oleh pemerintah dan kalangan bisnis.” → Analisis: Wacana politik dan ekonomi bercampur.
144;Intertekstualitas Media;Intertekstualitas media adalah keterkaitan antar teks dalam pemberitaan. Teks baru sering merujuk pada teks sebelumnya (Fairclough, 1995).;Kompas, 05/01/2024: “Seperti diberitakan sebelumnya, kebijakan ini telah menuai kritik.” → Analisis: Referensi ke teks lain memperkuat wacana.
145;Produksi Wacana;Produksi wacana adalah proses penciptaan teks oleh institusi atau aktor sosial. Proses ini dipengaruhi oleh kepentingan ideologis (Foucault, 1972).;CNN Indonesia, 12/01/2024: “Pemerintah menyusun narasi kebijakan secara sistematis.” → Analisis: Negara sebagai produsen wacana.
146;Distribusi Wacana;Distribusi wacana adalah penyebaran teks melalui media atau institusi. Hal ini menentukan jangkauan pengaruh wacana (Fairclough, 1995).;Kompas, 03/10/2023: “Informasi kebijakan disebarluaskan melalui berbagai platform digital.” → Analisis: Distribusi memperluas pengaruh ideologi.
147;Konsumsi Wacana;Konsumsi wacana adalah cara audiens memahami dan menafsirkan teks. Interpretasi dipengaruhi oleh konteks sosial (Fairclough, 1995).;Tempo, 01/03/2024: “Masyarakat merespons kebijakan ini secara beragam.” → Analisis: Interpretasi tidak homogen.
148;Mediasi Wacana;Mediasi wacana adalah peran media dalam menyampaikan dan membentuk wacana. Media tidak netral dalam proses ini (Fairclough, 1995).;Kompas, 13/04/2023: “Media menyoroti dampak ekonomi dari kebijakan tersebut.” → Analisis: Media memilih sudut pandang tertentu.
149;Recontextualization;Rekontekstualisasi adalah pemindahan wacana dari satu konteks ke konteks lain. Makna dapat berubah dalam proses ini (van Leeuwen, 2008).;CNN Indonesia, 12/01/2024: “Pernyataan pejabat dikutip ulang dalam konteks berbeda.” → Analisis: Makna mengalami pergeseran.
150;Orde Wacana;Orde wacana adalah konfigurasi berbagai wacana dalam suatu domain sosial. Hal ini mencerminkan struktur kekuasaan (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Wacana ekonomi didominasi oleh perspektif pasar bebas.” → Analisis: Satu wacana mendominasi domain.
151;Ideologi Media;"Ideologi media adalah sistem nilai yang memengaruhi cara media membingkai realitas. Ideologi ini tampak dalam seleksi isu dan bahasa (Fairclough, 1995; van Dijk, 1998).";Kompas, 13/04/2023: “Stabilitas ekonomi menjadi prioritas utama pemerintah.” → Analisis: Media mereproduksi ideologi stabilitas sebagai nilai utama.
152;Framing Media Lanjut;Framing media adalah cara media menyeleksi dan menonjolkan aspek tertentu dari realitas. Hal ini mengarahkan interpretasi publik (Entman, 1993).;Kompas, 13/04/2023: “Kerusuhan terjadi saat demonstrasi berlangsung.” → Analisis: Fokus pada kekerasan, bukan tuntutan.
153;Gatekeeping;Gatekeeping adalah proses seleksi informasi oleh media. Editor menentukan apa yang layak dipublikasikan (Shoemaker & Vos, 2009).;CNN Indonesia, 12/01/2024: “Media memilih menyoroti dampak ekonomi dari kebijakan.” → Analisis: Tidak semua aspek diberitakan.
154;Agenda Media;Agenda media adalah daftar isu yang diprioritaskan dalam pemberitaan. Hal ini memengaruhi perhatian publik (McCombs, 2004).;Kompas, 05/01/2024: “Isu inflasi mendominasi pemberitaan ekonomi minggu ini.” → Analisis: Media menentukan prioritas isu.
155;Priming;Priming adalah strategi memengaruhi penilaian publik melalui pengulangan isu tertentu. Hal ini membentuk standar evaluasi (Iyengar & Kinder, 1987).;CNN Indonesia, 12/01/2024: “Isu stabilitas terus diangkat dalam setiap pemberitaan.” → Analisis: Membentuk cara publik menilai kebijakan.
156;Bias Media;Bias media adalah kecenderungan tidak netral dalam pemberitaan. Hal ini mencerminkan posisi ideologis (van Dijk, 1998).;Tempo, 01/03/2024: “Media lebih banyak mengutip pejabat dibanding masyarakat.” → Analisis: Ketimpangan sumber menunjukkan bias.
157;Representasi Media;Representasi media adalah cara media menggambarkan realitas sosial. Representasi ini membentuk persepsi publik (Hall, 1997).;Kompas, 13/04/2023: “Demonstran digambarkan sebagai pengganggu ketertiban.” → Analisis: Representasi negatif dibangun.
158;Wacana Institusional;Wacana institusional adalah wacana yang diproduksi oleh institusi seperti negara atau media. Wacana ini memiliki otoritas tinggi (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Pemerintah menyatakan kebijakan ini penting bagi negara.” → Analisis: Otoritas institusi memperkuat wacana.
159;Legitimasi Institusional;Legitimasi institusional adalah pembenaran kebijakan melalui lembaga resmi. Hal ini memperkuat kepercayaan publik (van Leeuwen, 2008).;Kompas, 03/10/2023: “Kebijakan ini telah disetujui oleh DPR.” → Analisis: Lembaga digunakan sebagai legitimasi.
160;Otoritas Diskursif;Otoritas diskursif adalah kekuatan untuk menentukan makna dalam wacana. Aktor tertentu memiliki pengaruh lebih besar (Foucault, 1972).;CNN Indonesia, 12/01/2024: “Pemerintah menjadi sumber utama informasi kebijakan.” → Analisis: Negara mengontrol makna.
161;Kritik Ideologi;Kritik ideologi adalah analisis terhadap cara wacana mereproduksi kekuasaan dan ketimpangan. CDA bertujuan mengungkap ideologi yang tersembunyi dalam bahasa (Fairclough, 1995).;Tempo, 01/03/2024: “Kebijakan ini dinilai hanya menguntungkan kelompok tertentu.” → Analisis: Wacana mengungkap bias ideologis kebijakan.
162;Dekonstruksi Wacana;Dekonstruksi wacana adalah pembongkaran makna yang dianggap stabil dalam teks. Pendekatan ini menunjukkan bahwa makna bersifat tidak tetap (Derrida, 1978).;Kompas, 05/01/2024: “Istilah ‘penertiban’ dipertanyakan oleh aktivis.” → Analisis: Makna resmi dibongkar.
163;Counter-Discourse;Counter-discourse adalah wacana tandingan terhadap wacana dominan. Wacana ini muncul sebagai bentuk resistensi (Fairclough, 1995).;Tempo, 01/03/2024: “Aktivis menyuarakan alternatif kebijakan yang lebih adil.” → Analisis: Wacana tandingan muncul.
164;Subversi Wacana;Subversi wacana adalah strategi untuk melemahkan wacana dominan dari dalam. Hal ini dilakukan melalui reinterpretasi makna (Fairclough, 1995).;Tempo, 01/03/2024: “Istilah ‘reformasi’ digunakan secara kritis oleh aktivis.” → Analisis: Makna dibalik untuk kritik.
165;Resistensi Simbolik;Resistensi simbolik adalah perlawanan melalui bahasa dan simbol. Hal ini terjadi tanpa konfrontasi langsung (Bourdieu, 1991).;Tempo, 01/03/2024: “Masyarakat menggunakan slogan untuk menolak kebijakan.” → Analisis: Bahasa sebagai alat resistensi.
166;Reframing;Reframing adalah perubahan cara suatu isu dibingkai dalam wacana. Hal ini mengubah interpretasi audiens (Entman, 1993).;CNN Indonesia, 12/01/2024: “Kebijakan ini kini dipandang sebagai peluang, bukan ancaman.” → Analisis: Frame diubah menjadi positif.
167;Reartikulasi;Reartikulasi adalah penyusunan ulang makna dalam wacana. Makna lama dihubungkan dengan konteks baru (Laclau & Mouffe, 1985).;Kompas, 05/01/2024: “Istilah pembangunan dikaitkan dengan keberlanjutan.” → Analisis: Makna diperluas.
168;Reproduksi Kekuasaan;Reproduksi kekuasaan adalah proses mempertahankan dominasi melalui wacana. Hal ini terjadi melalui pengulangan ideologi (van Dijk, 1998).;Kompas, 03/10/2023: “Narasi stabilitas terus diulang dalam kebijakan pemerintah.” → Analisis: Ideologi diperkuat.
169;Marginalisasi Diskursif;Marginalisasi diskursif adalah pengabaian atau pelemahan suara kelompok tertentu. Hal ini memperkuat ketimpangan (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Kelompok masyarakat kecil jarang dilibatkan dalam diskusi.” → Analisis: Suara marginal diabaikan.
170;Invisibilisasi;Invisibilisasi adalah strategi membuat aktor tidak terlihat dalam wacana. Hal ini menghapus keberadaan sosial mereka (van Leeuwen, 2008).;Kompas, 13/04/2023: “Kebijakan diterapkan tanpa menyebut pihak terdampak.” → Analisis: Aktor dihilangkan.
171;Rezim Kebenaran;Rezim kebenaran adalah sistem yang menentukan apa yang dianggap benar dalam masyarakat. Kebenaran diproduksi melalui relasi kekuasaan (Foucault, 1972).;Kompas, 05/01/2024: “Pemerintah menegaskan bahwa kebijakan ini adalah solusi terbaik bagi ekonomi nasional.” → Analisis: Negara memproduksi “kebenaran resmi”.
172;Produksi Kebenaran;Produksi kebenaran adalah proses di mana wacana menciptakan pengetahuan yang dianggap sah. Institusi berperan penting dalam proses ini (Foucault, 1972).;CNN Indonesia, 12/01/2024: “Data resmi menunjukkan kebijakan ini efektif.” → Analisis: Data digunakan untuk melegitimasi kebenaran.
173;Disiplin Diskursif;Disiplin diskursif adalah mekanisme yang mengatur apa yang boleh dikatakan. Hal ini membatasi kemungkinan wacana (Foucault, 1972).;Tempo, 01/03/2024: “Beberapa kritik terhadap kebijakan jarang mendapat ruang publik.” → Analisis: Pembatasan wacana terjadi.
174;Normalisasi;Normalisasi adalah proses menjadikan suatu praktik sebagai hal yang wajar. Hal ini dilakukan melalui pengulangan wacana (Foucault, 1977).;Kompas, 03/10/2023: “Kebijakan ini dianggap sebagai langkah biasa dalam pengelolaan ekonomi.” → Analisis: Wacana membuat kebijakan tampak normal.
175;Naturalization;Naturalisasi adalah proses membuat konstruksi sosial tampak alami. Ideologi disamarkan sebagai kenyataan objektif (Fairclough, 1995).;Kompas, 13/04/2023: “Kenaikan harga dianggap sebagai konsekuensi logis pasar.” → Analisis: Ideologi pasar dinaturalisasi.
176;Kontrol Wacana;Kontrol wacana adalah kemampuan aktor untuk mengatur produksi dan distribusi teks. Hal ini mencerminkan kekuasaan sosial (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Pemerintah menjadi sumber utama informasi publik.” → Analisis: Negara mengontrol arus informasi.
177;Eksklusi Diskursif;Eksklusi diskursif adalah penghilangan suara tertentu dari wacana. Hal ini mempersempit ruang dialog (Foucault, 1972).;Tempo, 01/03/2024: “Kelompok masyarakat kecil tidak dilibatkan dalam diskusi kebijakan.” → Analisis: Suara tertentu dikeluarkan.
178;Hegemoni Diskursif;"Hegemoni diskursif adalah dominasi satu wacana atas yang lain. Dominasi ini diterima sebagai wajar (Gramsci, 1971; Fairclough, 1995).";Kompas, 03/10/2023: “Narasi pertumbuhan ekonomi mendominasi kebijakan nasional.” → Analisis: Satu wacana menjadi dominan.
179;Regulasional Diskursif;Regulasional diskursif adalah aturan yang mengatur produksi wacana. Hal ini menentukan struktur komunikasi (Foucault, 1972).;CNN Indonesia, 12/01/2024: “Aturan komunikasi pemerintah membatasi penyampaian informasi tertentu.” → Analisis: Struktur komunikasi dikontrol.
180;Produksi Subjek;Produksi subjek adalah proses pembentukan identitas individu melalui wacana. Subjek dibentuk oleh struktur kekuasaan (Foucault, 1972).;Kompas, 13/04/2023: “Masyarakat diposisikan sebagai pihak yang harus patuh terhadap kebijakan.” → Analisis: Subjek dibentuk sebagai objek kekuasaan.
181;Analisis Tiga Dimensi;Analisis tiga dimensi memandang wacana sebagai teks, praktik diskursif, dan praktik sosial. Pendekatan ini mengintegrasikan analisis linguistik dan sosial (Fairclough, 1995).;Kompas, 03/10/2023: “Pemerintah mempromosikan kebijakan melalui media nasional.” → Analisis: Teks (bahasa), praktik diskursif (media), praktik sosial (kebijakan negara) saling terkait.
182;Dialektika Wacana;Dialektika wacana adalah hubungan timbal balik antara bahasa dan struktur sosial. Wacana membentuk dan dibentuk oleh masyarakat (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Kebijakan ini memengaruhi perilaku ekonomi masyarakat.” → Analisis: Wacana dan praktik sosial saling memengaruhi.
183;Praktik Ideologis;Praktik ideologis adalah penggunaan wacana untuk mempertahankan atau menantang ideologi. Hal ini terjadi dalam interaksi sosial (van Dijk, 1998).;Tempo, 01/03/2024: “Narasi kebijakan ini dianggap pro-pasar.” → Analisis: Ideologi ekonomi direproduksi.
